legacy_role_id,role_name,legacy_permission_id,permission_key,proposed_role_key,grant_evidence
1,sadmin,1,browse_admin,sadmin,CONFIRMED: permission_role INSERT
2,admin,1,browse_admin,admin,CONFIRMED: permission_role INSERT
100,User,1,browse_admin,user,CONFIRMED: permission_role INSERT
101,Agent,1,browse_admin,agent,CONFIRMED: permission_role INSERT
102,Candidate,1,browse_admin,candidate,CONFIRMED: permission_role INSERT
103,Teacher,1,browse_admin,teacher,CONFIRMED: permission_role INSERT
104,Employee,1,browse_admin,employee,CONFIRMED: permission_role INSERT
106,owner,1,browse_admin,owner,CONFIRMED: permission_role INSERT
108,Agency,1,browse_admin,agency,CONFIRMED: permission_role INSERT
109,Sub Agent,1,browse_admin,sub.agent,CONFIRMED: permission_role INSERT
110,others,1,browse_admin,others,CONFIRMED: permission_role INSERT
1,sadmin,2,browse_bread,sadmin,CONFIRMED: permission_role INSERT
2,admin,2,browse_bread,admin,CONFIRMED: permission_role INSERT
1,sadmin,3,browse_database,sadmin,CONFIRMED: permission_role INSERT
2,admin,3,browse_database,admin,CONFIRMED: permission_role INSERT
1,sadmin,4,browse_media,sadmin,CONFIRMED: permission_role INSERT
2,admin,4,browse_media,admin,CONFIRMED: permission_role INSERT
103,Teacher,4,browse_media,teacher,CONFIRMED: permission_role INSERT
104,Employee,4,browse_media,employee,CONFIRMED: permission_role INSERT
106,owner,4,browse_media,owner,CONFIRMED: permission_role INSERT
1,sadmin,5,browse_compass,sadmin,CONFIRMED: permission_role INSERT
2,admin,5,browse_compass,admin,CONFIRMED: permission_role INSERT
1,sadmin,6,browse_menus,sadmin,CONFIRMED: permission_role INSERT
2,admin,6,browse_menus,admin,CONFIRMED: permission_role INSERT
1,sadmin,7,read_menus,sadmin,CONFIRMED: permission_role INSERT
2,admin,7,read_menus,admin,CONFIRMED: permission_role INSERT
1,sadmin,8,edit_menus,sadmin,CONFIRMED: permission_role INSERT
2,admin,8,edit_menus,admin,CONFIRMED: permission_role INSERT
1,sadmin,9,add_menus,sadmin,CONFIRMED: permission_role INSERT
2,admin,9,add_menus,admin,CONFIRMED: permission_role INSERT
1,sadmin,10,delete_menus,sadmin,CONFIRMED: permission_role INSERT
2,admin,10,delete_menus,admin,CONFIRMED: permission_role INSERT
1,sadmin,11,browse_roles,sadmin,CONFIRMED: permission_role INSERT
2,admin,11,browse_roles,admin,CONFIRMED: permission_role INSERT
1,sadmin,12,read_roles,sadmin,CONFIRMED: permission_role INSERT
2,admin,12,read_roles,admin,CONFIRMED: permission_role INSERT
1,sadmin,13,edit_roles,sadmin,CONFIRMED: permission_role INSERT
2,admin,13,edit_roles,admin,CONFIRMED: permission_role INSERT
1,sadmin,14,add_roles,sadmin,CONFIRMED: permission_role INSERT
2,admin,14,add_roles,admin,CONFIRMED: permission_role INSERT
1,sadmin,15,delete_roles,sadmin,CONFIRMED: permission_role INSERT
2,admin,15,delete_roles,admin,CONFIRMED: permission_role INSERT
1,sadmin,16,browse_users,sadmin,CONFIRMED: permission_role INSERT
2,admin,16,browse_users,admin,CONFIRMED: permission_role INSERT
106,owner,16,browse_users,owner,CONFIRMED: permission_role INSERT
1,sadmin,17,read_users,sadmin,CONFIRMED: permission_role INSERT
2,admin,17,read_users,admin,CONFIRMED: permission_role INSERT
1,sadmin,18,edit_users,sadmin,CONFIRMED: permission_role INSERT
2,admin,18,edit_users,admin,CONFIRMED: permission_role INSERT
106,owner,18,edit_users,owner,CONFIRMED: permission_role INSERT
1,sadmin,19,add_users,sadmin,CONFIRMED: permission_role INSERT
2,admin,19,add_users,admin,CONFIRMED: permission_role INSERT
1,sadmin,20,delete_users,sadmin,CONFIRMED: permission_role INSERT
2,admin,20,delete_users,admin,CONFIRMED: permission_role INSERT
1,sadmin,21,browse_settings,sadmin,CONFIRMED: permission_role INSERT
1,sadmin,22,read_settings,sadmin,CONFIRMED: permission_role INSERT
1,sadmin,23,edit_settings,sadmin,CONFIRMED: permission_role INSERT
1,sadmin,24,add_settings,sadmin,CONFIRMED: permission_role INSERT
1,sadmin,25,delete_settings,sadmin,CONFIRMED: permission_role INSERT
1,sadmin,26,browse_categories,sadmin,CONFIRMED: permission_role INSERT
100,User,26,browse_categories,user,CONFIRMED: permission_role INSERT
106,owner,26,browse_categories,owner,CONFIRMED: permission_role INSERT
1,sadmin,27,read_categories,sadmin,CONFIRMED: permission_role INSERT
100,User,27,read_categories,user,CONFIRMED: permission_role INSERT
106,owner,27,read_categories,owner,CONFIRMED: permission_role INSERT
1,sadmin,28,edit_categories,sadmin,CONFIRMED: permission_role INSERT
100,User,28,edit_categories,user,CONFIRMED: permission_role INSERT
106,owner,28,edit_categories,owner,CONFIRMED: permission_role INSERT
1,sadmin,29,add_categories,sadmin,CONFIRMED: permission_role INSERT
100,User,29,add_categories,user,CONFIRMED: permission_role INSERT
106,owner,29,add_categories,owner,CONFIRMED: permission_role INSERT
1,sadmin,30,delete_categories,sadmin,CONFIRMED: permission_role INSERT
100,User,30,delete_categories,user,CONFIRMED: permission_role INSERT
106,owner,30,delete_categories,owner,CONFIRMED: permission_role INSERT
1,sadmin,31,browse_posts,sadmin,CONFIRMED: permission_role INSERT
100,User,31,browse_posts,user,CONFIRMED: permission_role INSERT
106,owner,31,browse_posts,owner,CONFIRMED: permission_role INSERT
1,sadmin,32,read_posts,sadmin,CONFIRMED: permission_role INSERT
100,User,32,read_posts,user,CONFIRMED: permission_role INSERT
106,owner,32,read_posts,owner,CONFIRMED: permission_role INSERT
1,sadmin,33,edit_posts,sadmin,CONFIRMED: permission_role INSERT
100,User,33,edit_posts,user,CONFIRMED: permission_role INSERT
106,owner,33,edit_posts,owner,CONFIRMED: permission_role INSERT
1,sadmin,34,add_posts,sadmin,CONFIRMED: permission_role INSERT
100,User,34,add_posts,user,CONFIRMED: permission_role INSERT
106,owner,34,add_posts,owner,CONFIRMED: permission_role INSERT
1,sadmin,35,delete_posts,sadmin,CONFIRMED: permission_role INSERT
100,User,35,delete_posts,user,CONFIRMED: permission_role INSERT
106,owner,35,delete_posts,owner,CONFIRMED: permission_role INSERT
1,sadmin,36,browse_pages,sadmin,CONFIRMED: permission_role INSERT
100,User,36,browse_pages,user,CONFIRMED: permission_role INSERT
106,owner,36,browse_pages,owner,CONFIRMED: permission_role INSERT
1,sadmin,37,read_pages,sadmin,CONFIRMED: permission_role INSERT
