table,kind,path,line
agenciers,HELPER,src/app/Helpers/CommonClass.php,5
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerAgencierController.php,35
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerAjaxController.php,35
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerInvoiceController.php,8
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,847
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,461
agenciers,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php,5
agenciers,MODEL,src/app/Models/Agencier.php,8
agenciers,MODEL,src/app/Models/Candidate.php,29
agenciers,MODEL,src/app/Models/Invoice.php,12
agenciers,MODEL,src/app/Models/TicketInvoice.php,10
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,459
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,489
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/flight-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,516
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/employer-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,546
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/exam-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,573
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,706
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,716
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,827
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/tickets-report.blade.php,1
agenciers,REPORT_CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,856
agenciers,REPORT_VIEW,src/resources/views/vendor/voyager/reports/print/money-receipt-report.blade.php,1
agencies,MODEL,src/app/Models/Agency.php,8
agents,OTHER,src/app/Actions/AgentPaymentAction.php,29
agents,HELPER,src/app/Helpers/CommonClass.php,6
agents,CONTROLLER,src/app/Http/Controllers/AgentController.php,13
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerAgentController.php,7
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerAjaxController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php,91
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerCandidatesController.php,7
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerNotificationsController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerPaymentController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php,95
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerProfileController.php,31
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerReportController.php,5
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerSubAgentController.php,7
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php,97
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php,6
agents,CONTROLLER,src/app/Http/Controllers/Admin/VoyagerUserController.php,53
